# Livox official MID-360 scan trajectory, uniformly sampled to 2400 rays.
# Source: https://github.com/Livox-SDK/livox_laser_simulation/blob/master/scan_mode/mid360.csv
# Columns retain the official format: Time/s,Azimuth/deg,Zenith/deg.
# The native plugin reads the directions; point timestamps come from the actual
# Gazebo raycast-request time of each acquisition batch.
Time/s,Azimuth/deg,Zenith/deg
345812,146.57,72.639
346145,34.176,76.72
346479,287.32,79.133
346812,174.63,79.027
347146,65.19,82.7914
347479,315.86,85.1315
347813,205.98,86.5815
348146,92.182,88.9985
348480,343.28,91.8002
348813,229.69,90.0784
349147,115.86,91.735
349480,6.3336,93.8297
349813,251.34,91.343
350147,137.87,93.4746
350480,28.145,92.1277
350814,272.74,92.0284
351147,160.16,91.8077
351481,46.346,93.0446
351814,296.07,88.1723
352148,182.79,88.3769
352481,73.056,87.4213
352815,323.67,83.094
353148,210.51,83.2085
353482,101.62,79.659
353815,352.21,76.917
354149,240.32,73.111
354482,131.6,73.777
354816,23.167,70.025
355149,268.44,67.968
355483,160.07,68.2
355816,52.11,63.939
356149,298.15,62.865
356483,192.23,62.588
356816,81.912,57.452
357150,333.45,57.52
357483,226.67,56.089
357817,121.23,54.949
358150,9.7996,50.858
358484,265.99,51.438
358817,160.14,46.906
359151,51.424,43.222
359484,309.11,45.973
359818,201.71,41.82
360151,96.506,40.876
360485,347.97,41.898
360818,247.15,42.815
361152,140.07,42.723
361485,30.202,48.875
361818,287.96,48.68
362152,177.56,51.346
362485,68.219,56.825
362819,323.77,57.623
363152,211.62,59.834
363486,104.88,62.199
363819,357.57,63.826
364153,249.77,63.94
364486,137.59,68.084
364820,31.774,69.223
365153,279.01,68.981
365487,167.29,72.354
365820,61.487,73.661
366154,307.35,75.796
366487,196.72,78.252
366821,85.261,82.3093
367154,335.42,81.7315
367487,224.89,84.5951
367821,114.29,88.9421
368154,1.7155,87.8807
368488,250.29,92.0371
368821,140.07,94.0082
369155,27.165,92.4946
369488,274.62,96.6014
369822,161.59,94.4403
370155,49.166,93.3342
370489,294.22,91.2648
370822,183.84,92.6749
371156,71.85,88.9969
371489,316.26,89.41523
371823,206.14,89.39419
